Element Name;Layer;Composition;Ratio;Component Name;Application;Lifetime;Thickness
EW_Frame_Softwood - Hardwood_LIB_New_03;C11;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_04;C1;a;1;Planks | Softwood (22 mm) | Nailed | Untreated | Belgian mix;Wall - external finish | Cladding;20;0.022
EW_Frame_Softwood - Hardwood_LIB_New_04;C2;a;1;Battens | Softwood (38x38 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix | For untreated wooden planks;Wall - external finish | Support structure;20;0.038
EW_Frame_Softwood - Hardwood_LIB_New_04;C3;a;1;Intensively ventilated cavity | Air layer (20 mm);Wall - external finish | Air cavity;60;0.02
EW_Frame_Softwood - Hardwood_LIB_New_04;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_04;C5;a;1;Board | Bituminised wood fibre (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_04;C6;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_04;C6;b;0.8;Blanket | Stone wool (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_04;C7;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_04;C8;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_04;C9;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_04;C10;a;1;Board | Gypsum plaster (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_04;C11;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_05;C1;a;1;Bricks | Fired clay (188x88x48 mm) | Laid in cement mortar;Wall - external finish | Cladding;60;0.088
EW_Frame_Softwood - Hardwood_LIB_New_05;C2;a;1;Not ventilated cavity | Air layer (30 mm) | 25 ≤ t ≤ 300 mm;Wall - external finish | Air cavity;60;0.03
EW_Frame_Softwood - Hardwood_LIB_New_05;C3;a;1;Cavity ties | Steel (180 mm - Ø 3.5 mm - 4 ties per m²) | For cavity wall;Wall - external finish | Infrastructure;60;4
EW_Frame_Softwood - Hardwood_LIB_New_05;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_05;C5;a;1;Board | Wood fibre (22 mm) | Screwed;Wall - external finish | Support structure;60;0.022
EW_Frame_Softwood - Hardwood_LIB_New_05;C6;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_05;C6;b;0.8;Blanket | Glass wool (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_05;C7;a;1;Board | Chipboard (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_05;C8;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_05;C9;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_05;C10;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_05;C11;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_06;C1;a;1;Bricks | Fired clay (210x65x50 mm) | Laid in cement mortar;Wall - external finish | Cladding;60;0.065
EW_Frame_Softwood - Hardwood_LIB_New_06;C2;a;1;Not ventilated cavity | Air layer (30 mm) | 25 ≤ t ≤ 300 mm;Wall - external finish | Air cavity;60;0.03
EW_Frame_Softwood - Hardwood_LIB_New_06;C3;a;1;Cavity ties | Steel (180 mm - Ø 3.5 mm - 4 ties per m²) | For cavity wall;Wall - external finish | Infrastructure;60;4
EW_Frame_Softwood - Hardwood_LIB_New_06;C4;a;1;Blanket | Stone wool (40 mm) | For cavity wall | Ties and clips to be added;Wall - external finish | Thermal insulation;60;0.04
EW_Frame_Softwood - Hardwood_LIB_New_06;C5;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_06;C6;a;0.2;Frame | Softwood - Hardwood (140 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_06;C6;b;0.8;Blanket | Stone wool (140 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_06;C7;a;1;Board | Plywood (18 mm) | Screwed;Wall - internal finish | Cladding;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_06;C8;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_06;C9;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_06;C10;a;1;Board | Gypsum plaster (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_06;C11;a;1;Flexible sheet | Wallpaper (1 mm) | Glued;Wall - internal finish | Treatment of cladding;10;0.001
EW_Frame_Softwood - Hardwood_LIB_New_07;C1;a;1;Thick coating | Traditional plaster (7 mm);Wall - external finish | Cladding;40;0.007
EW_Frame_Softwood - Hardwood_LIB_New_07;C2;a;1;Board | Stone wool (40 mm) | Glued and fixed with plugs | To be plastered;Wall - external finish | Thermal insulation;40;0.04
EW_Frame_Softwood - Hardwood_LIB_New_07;C3;a;1;Board | Chipboard (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_07;C4;a;0.2;Frame | Softwood - Hardwood (140 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_07;C4;b;0.8;Blanket | Stone wool (140 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_07;C5;a;1;Board | Chipboard (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_07;C6;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_07;C7;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_07;C8;a;1;Board | Gypsum plaster (2x 12.5 mm) | Screwed | Including joint filler;Ceiling finish | Cladding;30;0.025
EW_Frame_Softwood - Hardwood_LIB_New_07;C9;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_08;C1;a;1;Strips | Fired clay (188x22x48 mm) | Glued;Wall - external finish | Cladding;60;0.022
EW_Frame_Softwood - Hardwood_LIB_New_08;C2;a;1;Board | EPS (40 mm) | Glued and fixed with plugs | To be combined with strips or tiles;Wall - external finish | Thermal insulation;60;0.04
EW_Frame_Softwood - Hardwood_LIB_New_08;C3;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_08;C4;a;0.2;Frame | Softwood - Hardwood (140 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_08;C4;b;0.8;Flakes | Glass wool (140 mm) | For between timber frame | Blown on site;External wall - loadbearing | Thermal insulation;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_08;C5;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_08;C6;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_08;C7;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_08;C8;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_08;C9;a;1;Rigid tiles | Glazed ceramic (200x200x9 mm) | Glued | On board or directly on brickwork;Wall - internal finish | Cladding;40;0.009
EW_Frame_Softwood - Hardwood_LIB_New_09;C1;a;1;Planks | Softwood (22 mm) | Nailed | Untreated | Belgian mix;Wall - external finish | Cladding;20;0.022
EW_Frame_Softwood - Hardwood_LIB_New_09;C2;a;0.93;Foam | PUR (38 mm) | For between battens;Wall - external finish | Thermal insulation;60;0.038
EW_Frame_Softwood - Hardwood_LIB_New_09;C2;b;0.07;Battens | Softwood (38 mm) | Screwed | Untreated | Belgian mix | For between insulation;Wall - external finish | Support structure;60;0.038
EW_Frame_Softwood - Hardwood_LIB_New_09;C3;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_09;C4;a;0.2;Frame | Softwood - Hardwood (140 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_09;C4;b;0.8;Foam | PUR (140 mm) | For between timber frame;External wall - loadbearing | Thermal insulation;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_09;C5;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_09;C6;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_09;C7;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_09;C8;a;1;Board | Fibre cement (12 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.012
EW_Frame_Softwood - Hardwood_LIB_New_09;C9;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_10;C1;a;1;Board | Fibre cement (8 mm) | Screwed;Wall - external finish | Cladding;40;0.008
EW_Frame_Softwood - Hardwood_LIB_New_10;C2;a;1;Battens | Softwood (38x38 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix;Wall - external finish | Support structure;30;0.038
EW_Frame_Softwood - Hardwood_LIB_New_10;C3;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_10;C4;a;1;Board | Bituminised wood fibre (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_10;C5;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_10;C5;b;0.8;Flakes | Cellulose (220 mm) | For between timber frame | Blown on site;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_10;C6;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_10;C7;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_10;C8;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_10;C9;a;1;Board | Fibre cement (12 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.012
EW_Frame_Softwood - Hardwood_LIB_New_10;C10;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_11;C1;a;1;Panel | Stone wool (10 mm) | Screwed;Wall - external finish | Cladding;30;0.01
EW_Frame_Softwood - Hardwood_LIB_New_11;C2;a;1;Battens | Softwood (38x38 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix;Wall - external finish | Support structure;30;0.038
EW_Frame_Softwood - Hardwood_LIB_New_11;C3;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_11;C4;a;1;Board | Chipboard (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_11;C5;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_11;C5;b;0.8;Blanket | Stone wool (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_11;C6;a;1;Board | Chipboard (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_11;C7;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_11;C8;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_11;C9;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_11;C10;a;1;Film coating | Acrylic paint | On gypsum board;Wall - internal finish | Treatment of cladding;10;0.000105
EW_Frame_Softwood - Hardwood_LIB_New_12;C1;a;1;Overlapping tiles | Fibre cement (600x320x4 mm) | Clipped;Wall - external finish | Cladding;30;0.004
EW_Frame_Softwood - Hardwood_LIB_New_12;C2;a;1;Battens | Softwood (36x27 mm - c.t.c. 275 mm) | Nailed | Treated - uncontaminated | Belgian mix | For fibre cement slates;Wall - external finish | Tile laths;30;0.027
EW_Frame_Softwood - Hardwood_LIB_New_12;C3;a;1;Battens | Softwood (30x15 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix | For tiles and zinc plate;Wall - external finish | Counter battens;30;0.015
EW_Frame_Softwood - Hardwood_LIB_New_12;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_12;C5;a;1;Board | Wood fibre (22 mm) | Screwed;Wall - external finish | Support structure;60;0.022
EW_Frame_Softwood - Hardwood_LIB_New_12;C6;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_12;C6;b;0.8;Board | Hemp (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_12;C7;a;1;Board | Wood fibre (8 mm) | Screwed;Wall - internal finish | Support structure;60;0.008
EW_Frame_Softwood - Hardwood_LIB_New_12;C8;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_12;C9;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_12;C10;a;1;Board | Wood fibre (18 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.018
EW_Frame_Softwood - Hardwood_LIB_New_12;C11;a;1;Thick coating | Loam plaster (20 mm);Wall - internal finish | Cladding;40;0.02
EW_Frame_Softwood - Hardwood_LIB_New_13;C1;a;1;Overlapping tiles - flat | Unglazed ceramic (472x303x31 mm) | Screwed | cover width 262 mm;Wall - external finish | Cladding;60;0.031
EW_Frame_Softwood - Hardwood_LIB_New_13;C2;a;1;Battens | Softwood (32x26 mm - c.t.c. 345 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;Wall - external finish | Tile laths;60;0.026
EW_Frame_Softwood - Hardwood_LIB_New_13;C3;a;1;Battens | Softwood (30x15 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix | For tiles and zinc plate;Wall - external finish | Counter battens;30;0.015
EW_Frame_Softwood - Hardwood_LIB_New_13;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_13;C5;a;1;Board | Bituminised wood fibre (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_13;C6;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_13;C6;b;0.8;Blanket | Sheep wool (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_13;C7;a;1;Board | OSB (18 mm) | Screwed;Wall - external finish | Support structure;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_13;C8;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_13;C9;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_13;C10;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_13;C11;a;1;Rigid tiles | Natural stone (600x300x15 mm) | Glued | Native;Wall - external finish | Cladding;60;0.015
EW_Frame_Softwood - Hardwood_LIB_New_14;C1;a;1;Overlapping tiles - flat | Glazed ceramic (472x303x31 mm) | Screwed | cover width 262 mm;Wall - external finish | Cladding;60;0.031
EW_Frame_Softwood - Hardwood_LIB_New_14;C2;a;1;Battens | Softwood (32x26 mm - c.t.c. 345 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;Wall - external finish | Tile laths;60;0.026
EW_Frame_Softwood - Hardwood_LIB_New_14;C3;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_14;C4;a;0.2;Frame | Softwood - Hardwood (220 mm) | Nailed | Untreated | Belgian mix;External wall - loadbearing | Primary part;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_14;C4;b;0.8;Blanket | Wood wool (220 mm) | For between timber frame | Friction fitted;External wall - loadbearing | Thermal insulation;60;0.22
EW_Frame_Softwood - Hardwood_LIB_New_14;C5;a;1;Board | Plywood (18 mm) | Screwed;Wall - internal finish | Cladding;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_14;C6;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_14;C7;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_14;C8;a;1;Board | Wood fibre (18 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.018
EW_Frame_Softwood - Hardwood_LIB_New_14;C9;a;1;Flexible sheet | Wallpaper (1 mm) | Glued;Wall - internal finish | Treatment of cladding;10;0.001
EW_Frame_Softwood - Hardwood_LIB_New_15;C1;a;1;Panel | Plastic (17 mm) | Screwed;Wall - external finish | Cladding;30;0.017
EW_Frame_Softwood - Hardwood_LIB_New_15;C2;a;1;Battens | Softwood (38x38 mm - c.t.c. 300 mm) | Screwed | Untreated | Belgian mix | For synthetic wall panel;Wall - external finish | Support structure;30;0.038
EW_Frame_Softwood - Hardwood_LIB_New_15;C3;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_15;C4;a;1;Board | Expanded cork (60 mm) | For cavity wall | Ties and clips to be added;Wall - external finish | Thermal insulation;60;0.06
EW_Frame_Softwood - Hardwood_LIB_New_15;C5;a;0.2;Frame | Softwood - Hardwood (140 mm) | Nailed | Treated - uncontaminated | Belgian mix;External wall - loadbearing | Primary part;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_15;C5;b;0.8;Granules | Expanded cork (140 mm) | For between timber frame | Blown on site;External wall - loadbearing | Thermal insulation;60;0.14
EW_Frame_Softwood - Hardwood_LIB_New_15;C6;a;1;Board | Plywood (18 mm) | Screwed;Wall - internal finish | Cladding;60;0.018
EW_Frame_Softwood - Hardwood_LIB_New_15;C7;a;1;Proofing sheet | PP - PE (0.22 mm) | Taped;Wall - internal finish | Vapour barrier;60;0.00022
EW_Frame_Softwood - Hardwood_LIB_New_15;C8;a;1;Battens | Softwood (47x22 mm - c.t.c. 400 mm) | Nailed | Untreated | Belgian mix;Wall - internal finish | Support structure;30;0.022
EW_Frame_Softwood - Hardwood_LIB_New_15;C9;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_Softwood - Hardwood_LIB_New_15;C10;a;1;Rigid tiles | Glazed ceramic (200x200x9 mm) | Glued | On board or directly on brickwork;Wall - internal finish | Cladding;40;0.009
EW_Frame_steel_LIB_New_01;C1;a;1;Thick coating | Traditional plaster (7 mm);Wall - external finish | Cladding;40;0.007
EW_Frame_steel_LIB_New_01;C2;a;1;Board | EPS (120 mm) | Glued and fixed with plugs | To be plastered;Wall - external finish | Thermal insulation;40;0.12
EW_Frame_steel_LIB_New_01;C3;a;1;Profiled plate | Steel (11 mm) | Screwed;Wall - external finish | Infrastructure;60;0.011
EW_Frame_steel_LIB_New_01;C4;a;0.015;Frame | Steel (140 mm) | Screwed;External wall - loadbearing | Primary part;60;0.14
EW_Frame_steel_LIB_New_01;C4;b;0.985;Not ventilated cavity | Air layer (140 mm) | 25 ≤ t ≤ 300 mm;External wall - loadbearing | Air cavity;60;0.14
EW_Frame_steel_LIB_New_01;C5;a;1;Profiles | Steel (32 mm) | Screwed;Wall - internal finish | Support structure;30;0.032
EW_Frame_steel_LIB_New_01;C6;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_steel_LIB_New_01;C7;a;1;Flexible sheet | Wallpaper (1 mm) | Glued;Wall - internal finish | Treatment of cladding;10;0.001
EW_Frame_steel_LIB_New_02;C1;a;1;Overlapping tiles | Zinc (330x330x0.8 mm) | Nailed;Wall - external finish | Cladding;60;0.0008
EW_Frame_steel_LIB_New_02;C2;a;1;Board | Softwood (23 mm) | Screwed | Untreated | Belgian mix | For tiles and zinc plate;Wall - external finish | Support structure;30;0.023
EW_Frame_steel_LIB_New_02;C3;a;1;Battens | Softwood (38x38 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix;Wall - external finish | Support structure;30;0.038
EW_Frame_steel_LIB_New_02;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_steel_LIB_New_02;C5;a;1;Board | PUR - aluminium facer (90 mm) | For cavity wall | Ties and clips to be added;Wall - external finish | Thermal insulation;60;0.09
EW_Frame_steel_LIB_New_02;C6;a;1;Profiled plate | Steel (11 mm) | Screwed;Wall - external finish | Infrastructure;60;0.011
EW_Frame_steel_LIB_New_02;C7;a;0.015;Frame | Steel (140 mm) | Screwed;External wall - loadbearing | Primary part;60;0.14
EW_Frame_steel_LIB_New_02;C7;b;0.985;Not ventilated cavity | Air layer (140 mm) | 25 ≤ t ≤ 300 mm;External wall - loadbearing | Air cavity;60;0.14
EW_Frame_steel_LIB_New_02;C8;a;1;Profiles | Steel (32 mm) | Screwed;Wall - internal finish | Support structure;30;0.032
EW_Frame_steel_LIB_New_02;C9;a;1;Board | Gypsum plaster (2x 12.5 mm) | Screwed | Including joint filler;Ceiling finish | Cladding;30;0.025
EW_Frame_steel_LIB_New_02;C10;a;1;Rigid tiles | Glazed ceramic (200x200x9 mm) | Glued | On board or directly on brickwork;Wall - internal finish | Cladding;40;0.009
EW_Frame_steel_LIB_New_03;C1;a;1;Plate | Zinc (0.8 mm) | Nailed;Wall - external finish | Cladding;60;0.0008
EW_Frame_steel_LIB_New_03;C2;a;1;Board | Softwood (23 mm) | Screwed | Untreated | Belgian mix | For tiles and zinc plate;Wall - external finish | Support structure;30;0.023
EW_Frame_steel_LIB_New_03;C3;a;1;Battens | Softwood (38x38 mm - c.t.c. 600 mm) | Screwed | Untreated | Belgian mix;Wall - external finish | Support structure;30;0.038
EW_Frame_steel_LIB_New_03;C4;a;1;Proofing sheet | PE (0.22 mm) | Stapled;Wall - external finish | Water barrier;60;0.00022
EW_Frame_steel_LIB_New_03;C5;a;1;Board | Wood fibre (190 mm) | For cavity wall | Ties and clips to be added;Wall - external finish | Thermal insulation;60;0.19
EW_Frame_steel_LIB_New_03;C6;a;0.015;Frame | Steel (140 mm) | Screwed;External wall - loadbearing | Primary part;60;0.14
EW_Frame_steel_LIB_New_03;C6;b;0.985;Not ventilated cavity | Air layer (140 mm) | 25 ≤ t ≤ 300 mm;External wall - loadbearing | Air cavity;60;0.14
EW_Frame_steel_LIB_New_03;C7;a;1;Profiles | Steel (32 mm) | Screwed;Wall - internal finish | Support structure;30;0.032
EW_Frame_steel_LIB_New_03;C8;a;1;Board | Gypsum fibre (12.5 mm) | Screwed | Including joint filler;Wall - internal finish | Cladding;30;0.0125
EW_Frame_steel_LIB_New_03;C9;a;1;Rigid tiles | Limestone (600x150x15 mm) | Glued | Imported;Wall - internal finish | Cladding;40;0.025
EW_Frame_steel_LIB_New_04;C1;a;1;Plate | Steel (0.6 mm) | Screwed;Wall - external finish | Cladding;30;0.0006
